lim_inf = 1
lim_sup = 60 
 
i j nul 
1, 1, 0
2, 1, 1
2, 2, 0
3, 1, 2
3, 2, 1
3, 3, 4
4, 1, 0
4, 2, 4
4, 3, 4
4, 4, 0
5, 1, 0
5, 2, 1
5, 3, 2
5, 4, 0
5, 5, 8
6, 1, 2
6, 2, 2
6, 3, 6
6, 4, 8
6, 5, 2
6, 6, 8
7, 1, 0
7, 2, 1
7, 3, 2
7, 4, 0
7, 5, 0
7, 6, 2
7, 7, 0
8, 1, 0
8, 2, 4
8, 3, 4
8, 4, 0
8, 5, 0
8, 6, 8
8, 7, 0
8, 8, 0
9, 1, 2
9, 2, 1
9, 3, 4
9, 4, 4
9, 5, 2
9, 6, 6
9, 7, 14
9, 8, 4
9, 9, 4
10, 1, 0
10, 2, 2
10, 3, 4
10, 4, 0
10, 5, 8
10, 6, 4
10, 7, 0
10, 8, 0
10, 9, 4
10, 10, 16
11, 1, 0
11, 2, 1
11, 3, 2
11, 4, 0
11, 5, 0
11, 6, 2
11, 7, 0
11, 8, 0
11, 9, 2
11, 10, 0
11, 11, 0
12, 1, 2
12, 2, 4
12, 3, 6
12, 4, 8
12, 5, 2
12, 6, 12
12, 7, 2
12, 8, 16
12, 9, 6
12, 10, 4
12, 11, 2
12, 12, 16
13, 1, 0
13, 2, 1
13, 3, 2
13, 4, 0
13, 5, 0
13, 6, 2
13, 7, 0
13, 8, 0
13, 9, 2
13, 10, 0
13, 11, 0
13, 12, 2
13, 13, 0
14, 1, 0
14, 2, 2
14, 3, 4
14, 4, 0
14, 5, 0
14, 6, 4
14, 7, 0
14, 8, 0
14, 9, 16
14, 10, 0
14, 11, 0
14, 12, 4
14, 13, 0
14, 14, 0
15, 1, 2
15, 2, 1
15, 3, 4
15, 4, 4
15, 5, 10
15, 6, 6
15, 7, 2
15, 8, 4
15, 9, 4
15, 10, 12
15, 11, 2
15, 12, 6
15, 13, 2
15, 14, 4
15, 15, 12
16, 1, 0
16, 2, 4
16, 3, 4
16, 4, 0
16, 5, 0
